field,description,data_type,source
receiver_player_id,Unique identifier for the receiver that was targeted on the pass.,,nflfastR::field_descriptions
receiver_player_name,String name for the targeted receiver.,,nflfastR::field_descriptions
receiving_yards,"Numeric yards by the receiver_player_name, excluding yards gained in pass plays with laterals. This should equal official receiving statistics but could miss yards gained in pass plays with laterals. Please see the description of `lateral_receiver_player_name` for further information.",,nflfastR::field_descriptions
replay_or_challenge,Binary indicator for whether or not a replay or challenge.,,nflfastR::field_descriptions
replay_or_challenge_result,String indicating the result of the replay or challenge.,,nflfastR::field_descriptions
result,Equals home_score - away_score and means the game outcome from the perspective of the home team.,,nflfastR::field_descriptions
return_team,String abbreviation of the return team.,,nflfastR::field_descriptions
return_touchdown,Binary indicator for if the play resulted in a return TD.,,nflfastR::field_descriptions
return_yards,Yards gained by the return team.,,nflfastR::field_descriptions
roof,"One of 'dome', 'outdoors', 'closed', 'open' indicating indicating the roof status of the stadium the game was played in. (Source: Pro-Football-Reference)",,nflfastR::field_descriptions
run_gap,"String indicator for line gap of run: end, guard, or tackle",,nflfastR::field_descriptions
run_location,"String indicator for location of run: left, middle, or right.",,nflfastR::field_descriptions
rush,Binary indicator if the play was a rushing play.,,nflfastR::field_descriptions
rush_attempt,Binary indicator for if the play was a run.,,nflfastR::field_descriptions
rush_touchdown,Binary indicator for if the play resulted in a rushing TD.,,nflfastR::field_descriptions
rusher,Name of the rusher (no scrambles) including plays with penalties.,,nflfastR::field_descriptions
rusher_id,ID of the player in the 'rusher' column.,,nflfastR::field_descriptions
rusher_jersey_number,Jersey number of the rusher.,,nflfastR::field_descriptions
rusher_player_id,Unique identifier for the player that attempted the run.,,nflfastR::field_descriptions
rusher_player_name,String name for the player that attempted the run.,,nflfastR::field_descriptions
rushing_yards,"Numeric yards by the rusher_player_name, excluding yards gained in rush plays with laterals. This should equal official rushing statistics but could miss yards gained in rush plays with laterals. Please see the description of `lateral_rusher_player_name` for further information.",,nflfastR::field_descriptions
sack,Binary indicator for if the play ended in a sack.,,nflfastR::field_descriptions
sack_player_id,Unique identifier of the player who recorded a solo sack.,,nflfastR::field_descriptions
sack_player_name,String name of the player who recorded a solo sack.,,nflfastR::field_descriptions
safety,Binary indicator for whether or not a safety occurred.,,nflfastR::field_descriptions
safety_player_id,Unique identifier for the player who scored a safety.,,nflfastR::field_descriptions
safety_player_name,String name for the player who scored a safety.,,nflfastR::field_descriptions
safety_prob,Predicted probability of the posteam scoring a safety next.,,nflfastR::field_descriptions
score_differential,Score differential between the posteam and defteam at the start of the play.,,nflfastR::field_descriptions
score_differential_post,Score differential between the posteam and defteam at the end of the play.,,nflfastR::field_descriptions
season,4 digit number indicating to which season the game belongs to.,,nflfastR::field_descriptions
season_type,'REG' or 'POST' indicating if the game belongs to regular or post season.,,nflfastR::field_descriptions
series,"Starts at 1, each new first down increments, numbers shared across both teams NA: kickoffs, extra point/two point conversion attempts, non-plays, no posteam",,nflfastR::field_descriptions
series_result,"Possible values: First down, Touchdown, Opp touchdown, Field goal, Missed field goal, Safety, Turnover, Punt, Turnover on downs, QB kneel, End of half",,nflfastR::field_descriptions
series_success,"1: scored touchdown, gained enough yards for first down.",,nflfastR::field_descriptions
shotgun,Binary indicator for whether or not the play was in shotgun formation.,,nflfastR::field_descriptions
side_of_field,String abbreviation for which team's side of the field the team with possession is currently on.,,nflfastR::field_descriptions
solo_tackle,Binary indicator if the play had a solo tackle (could be multiple due to fumbles).,,nflfastR::field_descriptions
solo_tackle_1_player_id,Unique identifier of one of the players with a solo tackle.,,nflfastR::field_descriptions
solo_tackle_1_player_name,String name of one of the players with a solo tackle.,,nflfastR::field_descriptions
solo_tackle_1_team,Team of one of the players with a solo tackle.,,nflfastR::field_descriptions
solo_tackle_2_player_id,Unique identifier of one of the players with a solo tackle.,,nflfastR::field_descriptions
solo_tackle_2_player_name,String name of one of the players with a solo tackle.,,nflfastR::field_descriptions
solo_tackle_2_team,Team of one of the players with a solo tackle.,,nflfastR::field_descriptions
sp,Binary indicator for whether or not a score occurred on the play.,,nflfastR::field_descriptions
special,Binary indicator if the play was a special teams play.,,nflfastR::field_descriptions
special_teams_play,"Binary indicator for whether play is special teams play from NFL source. Available 2011 and beyond with source ""nfl"".",,nflfastR::field_descriptions
spread_line,"The closing spread line for the game. A positive number means the home team was favored by that many points, a negative number means the away team was favored by that many points. (Source: Pro-Football-Reference)",,nflfastR::field_descriptions
st_play_type,"Type of special teams play from NFL source. Available 2011 and beyond with source ""nfl"".",,nflfastR::field_descriptions
stadium,Game site name.,,nflfastR::field_descriptions
stadium_id,ID of the stadium the game was played in. (Source: Pro-Football-Reference),,nflfastR::field_descriptions
start_time,Kickoff time in eastern time zone.,,nflfastR::field_descriptions
success,Binary indicator wheter epa > 0 in the given play.,,nflfastR::field_descriptions
surface,What type of ground the game was played on. (Source: Pro-Football-Reference),,nflfastR::field_descriptions
tackle_for_loss_1_player_id,Unique identifier for one of the potential players with the tackle for loss.,,nflfastR::field_descriptions
tackle_for_loss_1_player_name,String name for one of the potential players with the tackle for loss.,,nflfastR::field_descriptions
tackle_for_loss_2_player_id,Unique identifier for one of the potential players with the tackle for loss.,,nflfastR::field_descriptions
tackle_for_loss_2_player_name,String name for one of the potential players with the tackle for loss.,,nflfastR::field_descriptions
tackle_with_assist,Binary indicator for if there has been a tackle with assist.,,nflfastR::field_descriptions
tackle_with_assist_1_player_id,Unique identifier of one of the players with a tackle with assist.,,nflfastR::field_descriptions
tackle_with_assist_1_player_name,String name of one of the players with a tackle with assist.,,nflfastR::field_descriptions
tackle_with_assist_1_team,Team of one of the players with a tackle with assist.,,nflfastR::field_descriptions
tackle_with_assist_2_player_id,Unique identifier of one of the players with a tackle with assist.,,nflfastR::field_descriptions
tackle_with_assist_2_player_name,String name of one of the players with a tackle with assist.,,nflfastR::field_descriptions
tackle_with_assist_2_team,Team of one of the players with a tackle with assist.,,nflfastR::field_descriptions
tackled_for_loss,Binary indicator for whether or not a tackle for loss on a run play occurred.,,nflfastR::field_descriptions
td_player_id,Unique identifier of the player who scored a touchdown.,,nflfastR::field_descriptions
td_player_name,String name of the player who scored a touchdown.,,nflfastR::field_descriptions
td_prob,Predicted probability of the posteam scoring a TD next.,,nflfastR::field_descriptions
td_team,String abbreviation for which team scored the touchdown.,,nflfastR::field_descriptions
temp,The temperature at the stadium only for 'roof' = 'outdoors' or 'open'.(Source: Pro-Football-Reference),,nflfastR::field_descriptions
third_down_converted,Binary indicator for if the first down was converted on third down.,,nflfastR::field_descriptions
third_down_failed,Binary indicator for if the posteam failed to convert first down on third down.,,nflfastR::field_descriptions
time,Time at start of play provided in string format as minutes:seconds remaining in the quarter.,,nflfastR::field_descriptions
time_of_day,"Time of day of play in UTC ""HH:MM:SS"" format. Available 2011 and beyond with source ""nfl"".",,nflfastR::field_descriptions
timeout,Binary indicator for whether or not a timeout was called by either team.,,nflfastR::field_descriptions
timeout_team,String abbreviation for which team called the timeout.,,nflfastR::field_descriptions
total,Equals home_score + away_score and means the total points scored in the given game.,,nflfastR::field_descriptions
total_away_comp_air_epa,Cumulative total completions air EPA for the away team in the game so far.,,nflfastR::field_descriptions
total_away_comp_air_wpa,Cumulative total completions air WPA for the away team in the game so far.,,nflfastR::field_descriptions
total_away_comp_yac_epa,Cumulative total completions yac EPA for the away team in the game so far.,,nflfastR::field_descriptions
total_away_comp_yac_wpa,Cumulative total completions yac WPA for the away team in the game so far.,,nflfastR::field_descriptions
total_away_epa,Cumulative total EPA for the away team in the game so far.,,nflfastR::field_descriptions
total_away_pass_epa,Cumulative total passing EPA for the away team in the game so far.,,nflfastR::field_descriptions
total_away_pass_wpa,Cumulative total passing WPA for the away team in the game so far.,,nflfastR::field_descriptions
total_away_raw_air_epa,Cumulative total raw air EPA for the away team in the game so far.,,nflfastR::field_descriptions
total_away_raw_air_wpa,Cumulative total raw air WPA for the away team in the game so far.,,nflfastR::field_descriptions
total_away_raw_yac_epa,Cumulative total raw yac EPA for the away team in the game so far.,,nflfastR::field_descriptions
total_away_raw_yac_wpa,Cumulative total raw yac WPA for the away team in the game so far.,,nflfastR::field_descriptions
total_away_rush_epa,Cumulative total rushing EPA for the away team in the game so far.,,nflfastR::field_descriptions
total_away_rush_wpa,Cumulative total rushing WPA for the away team in the game so far.,,nflfastR::field_descriptions
total_away_score,Score for the away team at the end of the play.,,nflfastR::field_descriptions
total_home_comp_air_epa,Cumulative total completions air EPA for the home team in the game so far.,,nflfastR::field_descriptions
total_home_comp_air_wpa,Cumulative total completions air WPA for the home team in the game so far.,,nflfastR::field_descriptions
total_home_comp_yac_epa,Cumulative total completions yac EPA for the home team in the game so far.,,nflfastR::field_descriptions
total_home_comp_yac_wpa,Cumulative total completions yac WPA for the home team in the game so far.,,nflfastR::field_descriptions
total_home_epa,Cumulative total EPA for the home team in the game so far.,,nflfastR::field_descriptions
total_home_pass_epa,Cumulative total passing EPA for the home team in the game so far.,,nflfastR::field_descriptions
total_home_pass_wpa,Cumulative total passing WPA for the home team in the game so far.,,nflfastR::field_descriptions
total_home_raw_air_epa,Cumulative total raw air EPA for the home team in the game so far.,,nflfastR::field_descriptions
total_home_raw_air_wpa,Cumulative total raw air WPA for the home team in the game so far.,,nflfastR::field_descriptions
total_home_raw_yac_epa,Cumulative total raw yac EPA for the home team in the game so far.,,nflfastR::field_descriptions
total_home_raw_yac_wpa,Cumulative total raw yac WPA for the home team in the game so far.,,nflfastR::field_descriptions
total_home_rush_epa,Cumulative total rushing EPA for the home team in the game so far.,,nflfastR::field_descriptions
total_home_rush_wpa,Cumulative total rushing WPA for the home team in the game so far.,,nflfastR::field_descriptions
total_home_score,Score for the home team at the end of the play.,,nflfastR::field_descriptions
total_line,The closing total line for the game. (Source: Pro-Football-Reference),,nflfastR::field_descriptions
touchback,Binary indicator for if a touchback occurred on the play.,,nflfastR::field_descriptions
touchdown,Binary indicator for if the play resulted in a TD.,,nflfastR::field_descriptions
two_point_attempt,Binary indicator for two point conversion attempt.,,nflfastR::field_descriptions
two_point_conv_result,"String indicator for result of two point conversion attempt: success, failure, safety (touchback in defensive endzone is 1 point apparently), or return.",,nflfastR::field_descriptions
two_point_conversion_prob,Predicted probability of the posteam scoring the two point conversion.,,nflfastR::field_descriptions
vegas_home_wp,Estimated win probability for the home team incorporating pre-game Vegas line.,,nflfastR::field_descriptions
vegas_home_wpa,Win probability added (WPA) for the home team: spread_adjusted model.,,nflfastR::field_descriptions
vegas_wp,"Estimated win probabiity for the posteam given the current situation at the start of the given play, incorporating pre-game Vegas line.",,nflfastR::field_descriptions
vegas_wpa,Win probability added (WPA) for the posteam: spread_adjusted model.,,nflfastR::field_descriptions
weather,"String describing the weather including temperature, humidity and wind (direction and speed). Doesn't change during the game!",,nflfastR::field_descriptions
week,Season week.,,nflfastR::field_descriptions
wind,The speed of the wind in miles/hour only for 'roof' = 'outdoors' or 'open'. (Source: Pro-Football-Reference),,nflfastR::field_descriptions
wp,Estimated win probabiity for the posteam given the current situation at the start of the given play.,,nflfastR::field_descriptions
wpa,Win probability added (WPA) for the posteam.,,nflfastR::field_descriptions
xpass,Probability of dropback scaled from 0 to 1.,,nflfastR::field_descriptions
xyac_epa,"Expected value of EPA gained after the catch, starting from where the catch was made. Zero yards after the catch would be listed as zero EPA.",,nflfastR::field_descriptions
xyac_fd,Probability play earns a first down based on where the ball was caught.,,nflfastR::field_descriptions
xyac_mean_yardage,Average expected yards after the catch based on where the ball was caught.,,nflfastR::field_descriptions
xyac_median_yardage,Median expected yards after the catch based on where the ball was caught.,,nflfastR::field_descriptions
xyac_success,Probability play earns positive EPA (relative to where play started) based on where ball was caught.,,nflfastR::field_descriptions
yac_epa,EPA from the yards after catch alone. For completions this represents the actual value provided after the catch. For incompletions this represents the difference between the hypothetical air_epa and the play's raw observed EPA (how much the incomplete pass cost the posteam).,,nflfastR::field_descriptions
yac_wpa,WPA from yards after the catch (same logic as yac_epa).,,nflfastR::field_descriptions
yardline_100,Numeric distance in the number of yards from the opponent's endzone for the posteam.,,nflfastR::field_descriptions
yards_after_catch,Numeric value for distance in yards perpendicular to the yard line where the receiver made the reception to where the play ended.,,nflfastR::field_descriptions
yards_gained,"Numeric yards gained (or lost) by the possessing team, excluding yards gained via fumble recoveries and laterals.",,nflfastR::field_descriptions
ydsnet,Numeric value for total yards gained on the given drive.,,nflfastR::field_descriptions
ydstogo,Numeric yards in distance from either the first down marker or the endzone in goal down situations.,,nflfastR::field_descriptions
yrdln,String indicating the current field position for a given play.,,nflfastR::field_descriptions
attempts,The number of pass attempts as defined by the NFL.,numeric,nflreadr::dictionary_team_stats
carries,The number of official rush attempts (incl. scrambles and kneel downs). Rushes after a lateral reception don't count as carry.,numeric,nflreadr::dictionary_team_stats
completions,The number of completed passes.,numeric,nflreadr::dictionary_team_stats
def_fumbles,Number of fumbles forced by this team,numeric,nflreadr::dictionary_team_stats
def_fumbles_forced,Number of times a fumble was forced by this team,numeric,nflreadr::dictionary_team_stats
def_interception_yards,yards gained/lost on interception returns by this team,numeric,nflreadr::dictionary_team_stats
def_interceptions,Number of interceptions forced by this team,numeric,nflreadr::dictionary_team_stats
def_pass_defended,Number of passes defended/broken up by this team,numeric,nflreadr::dictionary_team_stats
def_qb_hits,Number of QB hits by this team (should not include plays where the QB was sacked),numeric,nflreadr::dictionary_team_stats
def_sack_yards,Yards lost from sacks forced by this team,numeric,nflreadr::dictionary_team_stats
def_sacks,Number of sacks by this team,numeric,nflreadr::dictionary_team_stats
def_safeties,Number of safeties forced by this team,numeric,nflreadr::dictionary_team_stats
def_tackle_assists,Number of assisted tackles for this team,numeric,nflreadr::dictionary_team_stats
def_tackles_for_loss,Number of tackles for loss (TFL) for this team,numeric,nflreadr::dictionary_team_stats
def_tackles_for_loss_yards,Yards lost from TFLs involving this team,numeric,nflreadr::dictionary_team_stats
def_tackles_solo,Total number of solo tackles for this team,numeric,nflreadr::dictionary_team_stats
def_tackles_with_assist,Number of tackles this team had with an assisted tackle,numeric,nflreadr::dictionary_team_stats
def_tds,Number of defensive touchdowns scored by this team,numeric,nflreadr::dictionary_team_stats
fg_att,Count of field goals attempted by this team,numeric,nflreadr::dictionary_team_stats
fg_blocked,Count of field goals attempted by this team that were blocked,numeric,nflreadr::dictionary_team_stats
fg_blocked_distance,Total distance on field goals blocked,numeric,nflreadr::dictionary_team_stats
fg_blocked_list,Comma-separated string listing lengths of field goals blocked,character,nflreadr::dictionary_team_stats
fg_long,Longest successful field goal made by this team,numeric,nflreadr::dictionary_team_stats
fg_made,Count of field goals made by this team,numeric,nflreadr::dictionary_team_stats
fg_made_0_19,Count of field goals within 0-19 yards made by this team,numeric,nflreadr::dictionary_team_stats
fg_made_20_29,Count of field goals within 20-29 yards made by this team,numeric,nflreadr::dictionary_team_stats
fg_made_30_39,Count of field goals within 30-39 yards made by this team,numeric,nflreadr::dictionary_team_stats
fg_made_40_49,Count of field goals within 40-49 yards made by this team,numeric,nflreadr::dictionary_team_stats
fg_made_50_59,Count of field goals within 50-59 yards made by this team,numeric,nflreadr::dictionary_team_stats
fg_made_60_,Count of field goals over 60 yards made by this team,numeric,nflreadr::dictionary_team_stats
fg_made_distance,Total distance on field goals made,numeric,nflreadr::dictionary_team_stats
fg_made_list,Comma-separated string listing lengths of field goals made,character,nflreadr::dictionary_team_stats
fg_missed,Count of field goals missed by this team,numeric,nflreadr::dictionary_team_stats
fg_missed_0_19,Count of field goals missed between 0-19 yards by this team,numeric,nflreadr::dictionary_team_stats
fg_missed_20_29,Count of field goals missed between 20-29 yards by this team,numeric,nflreadr::dictionary_team_stats
fg_missed_30_39,Count of field goals missed between 30-39 yards by this team,numeric,nflreadr::dictionary_team_stats
fg_missed_40_49,Count of field goals missed between 40-49 yards by this team,numeric,nflreadr::dictionary_team_stats
fg_missed_50_59,Count of field goals missed between 50-59 yards by this team,numeric,nflreadr::dictionary_team_stats
fg_missed_60_,Count of field goals missed over 60 yards by this team,numeric,nflreadr::dictionary_team_stats
fg_missed_distance,Total distance on field goals missed,numeric,nflreadr::dictionary_team_stats
fg_missed_list,Comma-separated string listing lengths of field goals missed,character,nflreadr::dictionary_team_stats
fg_pct,Percentage of field goals successfully made,numeric,nflreadr::dictionary_team_stats
fumble_recovery_opp,Number of the opponent's fumbles recovered,numeric,nflreadr::dictionary_team_stats
fumble_recovery_own,Number of the player's own team fumbles recovered,numeric,nflreadr::dictionary_team_stats
fumble_recovery_tds,Fumbles recovered and advanced for a touchdown,numeric,nflreadr::dictionary_team_stats
fumble_recovery_yards_opp,Yardage on opponent fumble recoveries,numeric,nflreadr::dictionary_team_stats
fumble_recovery_yards_own,Yards gained/lost on own fumble recoveries,numeric,nflreadr::dictionary_team_stats
gwfg_att,Count of game winning field goals attempted,numeric,nflreadr::dictionary_team_stats
gwfg_blocked,Count of game winning field goals blocked,numeric,nflreadr::dictionary_team_stats
gwfg_distance,Total distance on game winning field goals completed,numeric,nflreadr::dictionary_team_stats
gwfg_made,Count of game winning field goals made,numeric,nflreadr::dictionary_team_stats
gwfg_missed,Count of game winning field goals missed,numeric,nflreadr::dictionary_team_stats
kickoff_return_yards,Yards gained on kick returns by this team,numeric,nflreadr::dictionary_team_stats
kickoff_returns,Count of kick returns by this team,numeric,nflreadr::dictionary_team_stats
misc_yards,Miscellaneous yards attributed to this team,numeric,nflreadr::dictionary_team_stats
opponent_team,Abbreviation of opponent team,character,nflreadr::dictionary_team_stats
passing_2pt_conversions,Two-point conversion passes.,numeric,nflreadr::dictionary_team_stats
passing_air_yards,Passing air yards (includes incomplete passes).,numeric,nflreadr::dictionary_team_stats
passing_cpoe,Completion percentage over expected for this team.,numeric,nflreadr::dictionary_team_stats
passing_epa,"Total expected points added on pass attempts and sacks. NOTE: this uses the variable `qb_epa`, which gives QB credit for EPA for up to the point where a receiver lost a fumble after a completed catch and makes EPA work more like passing yards on plays with fumbles.",numeric,nflreadr::dictionary_team_stats
passing_first_downs,First downs on pass attempts.,numeric,nflreadr::dictionary_team_stats
passing_interceptions,Number of passing interceptions,numeric,nflreadr::dictionary_team_stats
passing_tds,The number of passing touchdowns.,numeric,nflreadr::dictionary_team_stats
passing_yards,Yards gained on pass plays.,numeric,nflreadr::dictionary_team_stats
passing_yards_after_catch,Yards after the catch gained on plays in which player was the passer (this is an unofficial stat and may differ slightly between different sources).,numeric,nflreadr::dictionary_team_stats
pat_att,Count of extra point kicks attempted,numeric,nflreadr::dictionary_team_stats
pat_blocked,Count of extra point kicks blocked,numeric,nflreadr::dictionary_team_stats
pat_made,Count of extra point kicks made,numeric,nflreadr::dictionary_team_stats
pat_missed,Count of extra point kicks missed,numeric,nflreadr::dictionary_team_stats
pat_pct,Percentage of extra point kicks successfully completed,numeric,nflreadr::dictionary_team_stats
penalties,Number of penalties attributed to this team,numeric,nflreadr::dictionary_team_stats
penalty_yards,Penalty yardage on penalties attributed to this team,numeric,nflreadr::dictionary_team_stats
punt_return_yards,Yards gained on punts returned by this team,numeric,nflreadr::dictionary_team_stats
punt_returns,Count of punt returns by this team,numeric,nflreadr::dictionary_team_stats
receiving_2pt_conversions,Two-point conversion receptions,numeric,nflreadr::dictionary_team_stats
receiving_air_yards,Receiving air yards (incl. incomplete passes).,numeric,nflreadr::dictionary_team_stats
receiving_epa,Total EPA on plays where this receiver was targeted,numeric,nflreadr::dictionary_team_stats
receiving_first_downs,Total number of first downs gained on receptions,numeric,nflreadr::dictionary_team_stats
receiving_fumbles,The number of fumbles after a pass reception.,numeric,nflreadr::dictionary_team_stats
receiving_fumbles_lost,The number of fumbles lost after a pass reception.,numeric,nflreadr::dictionary_team_stats
receiving_tds,The number of touchdowns following a pass reception. Also includes touchdowns after receiving a lateral on a play that started as a pass play.,numeric,nflreadr::dictionary_team_stats
receiving_yards,Yards gained after a pass reception. Includes yards gained after receiving a lateral on a play that started as a pass play.,numeric,nflreadr::dictionary_team_stats
receiving_yards_after_catch,Yards after the catch gained on plays in which player was receiver (this is an unofficial stat and may differ slightly between different sources).,numeric,nflreadr::dictionary_team_stats
receptions,The number of pass receptions. Lateral receptions officially don't count as reception.,numeric,nflreadr::dictionary_team_stats
rushing_2pt_conversions,Two-point conversion rushes,numeric,nflreadr::dictionary_team_stats
rushing_epa,Expected points added on rush attempts (incl. scrambles and kneel downs).,numeric,nflreadr::dictionary_team_stats
rushing_first_downs,First downs on rush attempts (incl. scrambles).,numeric,nflreadr::dictionary_team_stats
rushing_fumbles,The number of rushes with a fumble.,numeric,nflreadr::dictionary_team_stats
rushing_fumbles_lost,The number of rushes with a lost fumble.,numeric,nflreadr::dictionary_team_stats
rushing_tds,The number of rushing touchdowns (incl. scrambles). Also includes touchdowns after obtaining a lateral on a play that started with a rushing attempt.,numeric,nflreadr::dictionary_team_stats
rushing_yards,Yards gained when rushing with the ball (incl. scrambles and kneel downs). Also includes yards gained after obtaining a lateral on a play that started with a rushing attempt.,numeric,nflreadr::dictionary_team_stats
sack_fumbles,The number of sacks suffered with a fumble.,numeric,nflreadr::dictionary_team_stats
sack_fumbles_lost,The number of sacks suffered with a lost fumble.,numeric,nflreadr::dictionary_team_stats
sack_yards_lost,Yards lost from sacks suffered by this team,numeric,nflreadr::dictionary_team_stats
sacks_suffered,Number of sacks taken as a QB,numeric,nflreadr::dictionary_team_stats
season,Official NFL season,numeric,nflreadr::dictionary_team_stats
season_type,"`REG` for regular season, `POST` for postseason",character,nflreadr::dictionary_team_stats
special_teams_tds,Total number of kick/punt return touchdowns,numeric,nflreadr::dictionary_team_stats
targets,The number of pass plays where the player was the targeted receiver.,numeric,nflreadr::dictionary_team_stats
team,Abbreviation of team,character,nflreadr::dictionary_team_stats
timeouts,Number of timeouts used by this team,numeric,nflreadr::dictionary_team_stats
week,Game week number,numeric,nflreadr::dictionary_team_stats
